refund_id,order_id,quantity,subtotal,tax_subtotal,line_item_id,title,sku,product_id,product_type,variant_id,variant_sku,refund_line_item_id
gid://shopify/Refund/972855115875,#460963,1,0.0,0.0,gid://shopify/LineItem/15695659303011,Vinca Harem Pants,90167-PKT-PET-S,gid://shopify/Product/7124164509795,Pants,gid://shopify/ProductVariant/41427665780835,90167-PKT-PET-S,gid://shopify/Refund/972855115875_gid://shopify/LineItem/15695659303011
gid://shopify/Refund/974199193699,#460976,1,41.25,2.27,gid://shopify/LineItem/15696157180003,Black Cotton Cabana Pants,98105C-PCKT-PET-M,gid://shopify/Product/6945826275427,Pants,gid://shopify/ProductVariant/42002208850019,98105C-PCKT-PET-M,gid://shopify/Refund/974199193699_gid://shopify/LineItem/15696157180003
gid://shopify/Refund/977166368867,#460997,1,43.99,0.0,gid://shopify/LineItem/15696535912547,White Boyfriend Button Up,85106C1-L,gid://shopify/Product/6863969550435,Tops,gid://shopify/ProductVariant/40158022238307,85106C1-L,gid://shopify/Refund/977166368867_gid://shopify/LineItem/15696535912547
gid://shopify/Refund/973958840419,#461029,1,62.99,4.41,gid://shopify/LineItem/15697123770467,Oxford Nomad Jumpsuit,81155C-ADJ-S,gid://shopify/Product/7719697678435,Romper,gid://shopify/ProductVariant/43108363272291,81155C-ADJ-S,gid://shopify/Refund/973958840419_gid://shopify/LineItem/15697123770467
gid://shopify/Refund/976543776867,#461031,1,31.99,1.67,gid://shopify/LineItem/15697160241251,Vinca Harem Pants,90167-PKT-M,gid://shopify/Product/7124164509795,Pants,gid://shopify/ProductVariant/41427706216547,90167-PKT-M,gid://shopify/Refund/976543776867_gid://shopify/LineItem/15697160241251
gid://shopify/Refund/976543776867,#461031,1,42.4,2.19,gid://shopify/LineItem/15697160372323,Granite Adventure Cargo Pants,80128C-M,gid://shopify/Product/7160191975523,Pants,gid://shopify/ProductVariant/41218200895587,80128C-M,gid://shopify/Refund/976543776867_gid://shopify/LineItem/15697160372323
gid://shopify/Refund/974189166691,#461043,1,39.99,1.85,gid://shopify/LineItem/15697539039331,Black Harem Pants,90105-PKT-PET-S,gid://shopify/Product/6799865839715,Pants,gid://shopify/ProductVariant/39966119362659,90105-PKT-PET-S,gid://shopify/Refund/974189166691_gid://shopify/LineItem/15697539039331
gid://shopify/Refund/974189166691,#461043,1,39.99,1.85,gid://shopify/LineItem/15697539072099,Vintage Wash Bondi Harem Pants,90172-PKT-PET-S,gid://shopify/Product/7035440693347,Pants,gid://shopify/ProductVariant/40819404013667,90172-PKT-PET-S,gid://shopify/Refund/974189166691_gid://shopify/LineItem/15697539072099
gid://shopify/Refund/975832514659,#461070,1,36.0,2.43,gid://shopify/LineItem/15698350440547,Akha Tribal Print Kimono,50178,gid://shopify/Product/7671533273187,Kimono,gid://shopify/ProductVariant/42918662570083,50178,gid://shopify/Refund/975832514659_gid://shopify/LineItem/15698350440547
gid://shopify/Refund/975834447971,#461070,1,39.99,2.7,gid://shopify/LineItem/15698350473315,Akha Tribal Print Harem Pants,90178-PKT-PET-M,gid://shopify/Product/7213114753123,Pants,gid://shopify/ProductVariant/41577517875299,90178-PKT-PET-M,gid://shopify/Refund/975834447971_gid://shopify/LineItem/15698350473315
gid://shopify/Refund/975822585955,#461105,1,34.4,3.13,gid://shopify/LineItem/15699150733411,Onyx Full Length Yin Scoop Neck Top,58105CL-L,gid://shopify/Product/7546237714531,Tops,gid://shopify/ProductVariant/42466408267875,58105CL-L,gid://shopify/Refund/975822585955_gid://shopify/LineItem/15699150733411
gid://shopify/Refund/976546463843,#461123,1,34.99,0.0,gid://shopify/LineItem/15699622297699,White Cotton Cabana Shorts,83106C-S,gid://shopify/Product/7277255098467,Shorts,gid://shopify/ProductVariant/41578034626659,83106C-S,gid://shopify/Refund/976546463843_gid://shopify/LineItem/15699622297699
gid://shopify/Refund/976546463843,#461123,1,49.99,0.0,gid://shopify/LineItem/15699622264931,Onyx Vinyasa Tank,55105CL-S,gid://shopify/Product/7179111497827,Tops,gid://shopify/ProductVariant/41282960457827,55105CL-S,gid://shopify/Refund/976546463843_gid://shopify/LineItem/15699622264931
gid://shopify/Refund/976546562147,#461123,1,37.99,0.0,gid://shopify/LineItem/15699622330467,Slate Vinyasa Tank,55194CL-S,gid://shopify/Product/7489766293603,Tops,gid://shopify/ProductVariant/42093383254115,55194CL-S,gid://shopify/Refund/976546562147_gid://shopify/LineItem/15699622330467
gid://shopify/Refund/977244258403,#461149,1,32.99,0.0,gid://shopify/LineItem/15700025999459,Master Healer 4mm Healing Necklace,21048,gid://shopify/Product/4704192397411,Necklace,gid://shopify/ProductVariant/40267192795235,21048,gid://shopify/Refund/977244258403_gid://shopify/LineItem/15700025999459
gid://shopify/Refund/975832744035,#461163,1,39.99,3.52,gid://shopify/LineItem/15700374126691,Baja Harem Pants,90104-PKT-M,gid://shopify/Product/6633433694307,Pants,gid://shopify/ProductVariant/40628288847971,90104-PKT-M,gid://shopify/Refund/975832744035_gid://shopify/LineItem/15700374126691
gid://shopify/Refund/975832744035,#461163,1,39.99,3.52,gid://shopify/LineItem/15700374159459,Sahara Harem Pants,90112-PKT-M,gid://shopify/Product/6695196950627,Pants,gid://shopify/ProductVariant/40240619421795,90112-PKT-M,gid://shopify/Refund/975832744035_gid://shopify/LineItem/15700374159459
gid://shopify/Refund/975832744035,#461163,1,34.99,3.07,gid://shopify/LineItem/15700374061155,Elemental Blue Cotton Shorts,93161CSM,gid://shopify/Product/7183668576355,Shorts,gid://shopify/ProductVariant/41296772825187,93161CSM,gid://shopify/Refund/975832744035_gid://shopify/LineItem/15700374061155
gid://shopify/Refund/973678805091,#461166,1,44.0,3.41,gid://shopify/LineItem/15700428882019,Seaside Spice Wide Leg Cotton Pants,91196C-M,gid://shopify/Product/7592508588131,Pants,gid://shopify/ProductVariant/42608337059939,91196C-M,gid://shopify/Refund/973678805091_gid://shopify/LineItem/15700428882019
gid://shopify/Refund/975821504611,#461169,1,47.2,0.0,gid://shopify/LineItem/15702518726755,Master Healer 2mm Healing + Circles in the Sand Necklace Stack,NST-23001-11012-002,gid://shopify/Product/7689043542115,Necklace Stack,gid://shopify/ProductVariant/42984792555619,NST-23001-11012-002,gid://shopify/Refund/975821504611_gid://shopify/LineItem/15702518726755
gid://shopify/Refund/976691953763,#461174,1,39.99,3.1,gid://shopify/LineItem/15702572761187,Cosmic Teal Harem Pants,90203-PKT-M,gid://shopify/Product/7669327167587,Pants,gid://shopify/ProductVariant/42906113900643,90203-PKT-M,gid://shopify/Refund/976691953763_gid://shopify/LineItem/15702572761187
gid://shopify/Refund/975854993507,#461202,1,39.99,0.0,gid://shopify/LineItem/15703070900323,Sahara Harem Pants,90112-PKT-TAL-L,gid://shopify/Product/6695196950627,Pants,gid://shopify/ProductVariant/41621841215587,90112-PKT-TAL-L,gid://shopify/Refund/975854993507_gid://shopify/LineItem/15703070900323
gid://shopify/Refund/975206908003,#461229,1,24.0,1.5,gid://shopify/LineItem/15703437148259,Pampa Point Wide Leg Drawstring Pants,98139-M,gid://shopify/Product/6883122839651,Pants,gid://shopify/ProductVariant/40232555544675,98139-M,gid://shopify/Refund/975206908003_gid://shopify/LineItem/15703437148259
gid://shopify/Refund/974188019811,#461233,1,54.99,2.48,gid://shopify/LineItem/15703536304227,White Boyfriend Button Up,85106C1-S,gid://shopify/Product/6863969550435,Tops,gid://shopify/ProductVariant/40158020501603,85106C1-S,gid://shopify/Refund/974188019811_gid://shopify/LineItem/15703536304227
gid://shopify/Refund/974188019811,#461233,1,54.99,2.47,gid://shopify/LineItem/15703536271459,Aqua Cotton Cabana Pants,98157C-PCKT-S,gid://shopify/Product/7183832809571,Pants,gid://shopify/ProductVariant/42002029477987,98157C-PCKT-S,gid://shopify/Refund/974188019811_gid://shopify/LineItem/15703536271459
gid://shopify/Refund/975834284131,#461243,1,36.0,2.43,gid://shopify/LineItem/15703630643299,Nosara Kimono,50181,gid://shopify/Product/7678350884963,Kimono,gid://shopify/ProductVariant/42938384646243,50181,gid://shopify/Refund/975834284131_gid://shopify/LineItem/15703630643299
gid://shopify/Refund/974854553699,#461254,1,31.99,1.92,gid://shopify/LineItem/15703764861027,Cosmic Teal Harem Pants,90203-PKT-L,gid://shopify/Product/7669327167587,Pants,gid://shopify/ProductVariant/42906113933411,90203-PKT-L,gid://shopify/Refund/974854553699_gid://shopify/LineItem/15703764861027
gid://shopify/Refund/974103445603,#461259,1,39.99,0.0,gid://shopify/LineItem/15703832002659,Tidal Harem Pants,90192-PKT-PET-S,gid://shopify/Product/7531823857763,Pants,gid://shopify/ProductVariant/42421454667875,90192-PKT-PET-S,gid://shopify/Refund/974103445603_gid://shopify/LineItem/15703832002659
gid://shopify/Refund/974916485219,#461289,1,79.99,4.8,gid://shopify/LineItem/15704034771043,Yao Tribal Print Lounge Set,ASETS-90198-PKT-PS-50198-02,gid://shopify/Product/7592508457059,Lounge Set,gid://shopify/ProductVariant/42608336011363,ASETS-90198-PKT-PS-50198-02,gid://shopify/Refund/974916485219_gid://shopify/LineItem/15704034771043
gid://shopify/Refund/982263300195,#461319,1,19.8,1.49,gid://shopify/LineItem/15704283316323,Bright Coral Cruisin Crop Top,86159C,gid://shopify/Product/7180590481507,Tops,gid://shopify/ProductVariant/41288548712547,86159C,gid://shopify/Refund/982263300195_gid://shopify/LineItem/15704283316323
gid://shopify/Refund/975822356579,#461326,1,62.99,4.79,gid://shopify/LineItem/15704314249315,Verdigris Nomad Jumpsuit,81156C-ADJ-M,gid://shopify/Product/7689320104035,Romper,gid://shopify/ProductVariant/42986348052579,81156C-ADJ-M,gid://shopify/Refund/975822356579_gid://shopify/LineItem/15704314249315
gid://shopify/Refund/975822356579,#461326,1,39.99,3.03,gid://shopify/LineItem/15704314282083,Black Harem Pants,90105-PKT-TAL-M,gid://shopify/Product/6799865839715,Pants,gid://shopify/ProductVariant/41981632184419,90105-PKT-TAL-M,gid://shopify/Refund/975822356579_gid://shopify/LineItem/15704314282083
gid://shopify/Refund/975822356579,#461326,1,39.99,3.04,gid://shopify/LineItem/15704314314851,Deep Teal Harem Pants,90120-PKT-TAL-M,gid://shopify/Product/6873234079843,Pants,gid://shopify/ProductVariant/41981737926755,90120-PKT-TAL-M,gid://shopify/Refund/975822356579_gid://shopify/LineItem/15704314314851
gid://shopify/Refund/974188904547,#461340,1,46.91,4.1,gid://shopify/LineItem/15704435949667,Sage Baja Pullover,88147C-M,gid://shopify/Product/7061571371107,Tops,gid://shopify/ProductVariant/40906330112099,88147C-M,gid://shopify/Refund/974188904547_gid://shopify/LineItem/15704435949667
gid://shopify/Refund/974188904547,#461340,1,51.6,4.51,gid://shopify/LineItem/15704436015203,Sage Wide Leg Cotton Pants,91147C-M,gid://shopify/Product/6954322362467,Pants,gid://shopify/ProductVariant/40488302510179,91147C-M,gid://shopify/Refund/974188904547_gid://shopify/LineItem/15704436015203
