order_id,line_item_id,created_at,updated_at,title,quantity,sku,product_id,product_type,variant_id,variant_sku,variant_price,original_total,discounted_total,discount_codes,discount_amounts
#477357,gid://shopify/LineItem/16023989911651,2025-04-17 11:01:34,2025-04-17 11:01:43,Mystery Harem Pants,1,MYST-HAR-TAL-S,gid://shopify/Product/6667793727587,Pants,gid://shopify/ProductVariant/42994426085475,MYST-HAR-TAL-S,22.22,22.22,22.22,,
#477358,gid://shopify/LineItem/16023999283299,2025-04-17 11:09:35,2025-04-17 12:10:01,Nosara Harem Pants,1,90181-PKT-TAL-M,gid://shopify/Product/7489766391907,Pants,gid://shopify/ProductVariant/43085414727779,90181-PKT-TAL-M,39.99,39.99,39.99,,
#477358,gid://shopify/LineItem/16023999316067,2025-04-17 11:09:35,2025-04-17 12:10:01,Havana Harem Pants,1,90077-PKT-TAL-L,gid://shopify/Product/7751451050083,Pants,gid://shopify/ProductVariant/43233124188259,90077-PKT-TAL-L,39.99,39.99,39.99,,
#477359,gid://shopify/LineItem/16024007376995,2025-04-17 11:18:13,2025-04-17 11:20:04,Como Harem Pants,1,90116-PKT-PET-S,gid://shopify/Product/7576418254947,Pants,gid://shopify/ProductVariant/42558396498019,90116-PKT-PET-S,39.99,39.99,39.99,,
#477359,gid://shopify/LineItem/16024007409763,2025-04-17 11:18:13,2025-04-17 11:20:04,Navy Blue Full Length Yin Scoop Neck Top,1,58193CL-S,gid://shopify/Product/7670310568035,Tops,gid://shopify/ProductVariant/42911269093475,58193CL-S,27.99,27.99,27.99,,
#477360,gid://shopify/LineItem/16024008589411,2025-04-17 11:20:07,2025-04-17 11:21:57,Canggu Daydreamer Top,1,52131,gid://shopify/Product/7157899100259,Tops,gid://shopify/ProductVariant/41208685789283,52131,36.99,36.99,36.99,,
#477360,gid://shopify/LineItem/16024008622179,2025-04-17 11:20:07,2025-04-17 11:21:57,Pearl Full Length Yin Scoop Neck Top,1,58106CL-M,gid://shopify/Product/7546236043363,Tops,gid://shopify/ProductVariant/42466402599011,58106CL-M,42.99,42.99,42.99,,
#477360,gid://shopify/LineItem/16024008654947,2025-04-17 11:20:07,2025-04-17 11:21:57,Seaside Spice Wide Leg Cotton Pants,1,91196C-PET-SM,gid://shopify/Product/7592508588131,Pants,gid://shopify/ProductVariant/42608336994403,91196C-PET-SM,49.99,49.99,49.99,,
#477361,gid://shopify/LineItem/16024010063971,2025-04-17 11:22:15,2025-04-17 11:22:24,Mystery Harem Pants,1,MYST-HAR-M,gid://shopify/Product/6667793727587,Pants,gid://shopify/ProductVariant/41829911494755,MYST-HAR-M,22.22,22.22,22.22,sunnygirl20,4.45
#477362,gid://shopify/LineItem/16024021991523,2025-04-17 11:33:49,2025-04-17 12:35:00,Akha Tribal Print Harem Pants,1,90178-PKT-PET-S,gid://shopify/Product/7213114753123,Pants,gid://shopify/ProductVariant/41577517842531,90178-PKT-PET-S,39.99,39.99,39.99,,
