order_id,delivery_id,ship_date,scheduled_date,invoice_id,invoice_number,invoice_amount_residual,due_date,channel,payment_terms,invoice_move_id,payment_ids,total_paid,amount_residual
#478635,137021,2025-04-22 18:49:15,2025-04-22 18:49:15,,,,2025-04-22 18:49:15,,,,[],0.0,
#478636,137020,2025-04-22 18:51:02,2025-04-22 18:51:02,,,,2025-04-22 18:51:02,,,,[],0.0,
#478637,137019,2025-04-22 18:51:48,2025-04-22 18:51:48,,,,2025-04-22 18:51:48,,,,[],0.0,
#478638,137030,2025-04-22 18:57:04,2025-04-22 18:57:04,,,,2025-04-22 18:57:04,,,,[],0.0,
#478639,137029,2025-04-22 18:57:37,2025-04-22 18:57:37,,,,2025-04-22 18:57:37,,,,[],0.0,
#478640,137028,2025-04-22 18:58:22,2025-04-22 18:58:22,,,,2025-04-22 18:58:22,,,,[],0.0,
S04277,136798,2025-04-22 19:00:00,2025-04-22 19:00:00,,,,2025-04-22 19:00:00,Wholesale,Due on Ship,,[],0.0,610.25
S04277,136790,2025-04-22 19:00:00,2025-04-22 19:00:00,,,,2025-04-22 19:00:00,Wholesale,Due on Ship,,[],0.0,610.25
S04275,136730,2025-04-22 19:00:00,2025-04-22 19:00:00,,,,2025-04-22 19:00:00,Wholesale,Due on Ship,,[],0.0,564.0
#478641,137027,2025-04-22 19:04:23,2025-04-22 19:04:23,,,,2025-04-22 19:04:23,,,,[],0.0,
#478642,137026,2025-04-22 19:04:38,2025-04-22 19:04:38,,,,2025-04-22 19:04:38,,,,[],0.0,
#478643,137025,2025-04-22 19:05:22,2025-04-22 19:05:22,,,,2025-04-22 19:05:22,,,,[],0.0,
#478644,137024,2025-04-22 19:12:20,2025-04-22 19:12:20,,,,2025-04-22 19:12:20,,,,[],0.0,
#478645,137023,2025-04-22 19:13:01,2025-04-22 19:13:01,,,,2025-04-22 19:13:01,,,,[],0.0,
#478646,137022,2025-04-22 19:17:08,2025-04-22 19:17:08,,,,2025-04-22 19:17:08,,,,[],0.0,
#478647,137035,2025-04-22 19:18:49,2025-04-22 19:18:49,,,,2025-04-22 19:18:49,,,,[],0.0,
#478648,137034,2025-04-22 19:18:56,2025-04-22 19:18:56,,,,2025-04-22 19:18:56,,,,[],0.0,
